Date,X,Y,Z,Equipo1,Equipo2
2011-01-19,98.16,675.0,2444.25,559.632,1072.47
2011-01-20,96.58,675.0,2373.25,559.316,1048.2766666666666
2011-01-21,97.6,695.0,2389.5,575.52,1060.7
2011-01-24,96.61,695.0,2394.75,575.322,1062.1200000000001
2011-01-25,95.25,695.0,2359.5,575.05,1049.9166666666667
2011-01-26,97.91,695.0,2362.75,575.582,1051.8866666666665
2011-01-27,97.39,695.0,2390.5,575.478,1060.9633333333334
2011-01-28,99.42,705.0,2454.5,583.884,1086.3066666666666
2011-01-31,101.01,705.0,2454.5,584.202,1086.8366666666668
2011-02-02,102.34,705.0,2522.25,584.468,1109.8633333333335
2011-02-03,116.35,705.0,2554.75,587.27,1125.3666666666666
2011-02-08,116.46,705.0,2540.5,587.292,1120.6533333333334
2011-02-09,112.33,705.0,2399.5,586.466,1072.2766666666666
2011-02-11,109.34,765.0,2103.25,633.868,992.5300000000001
2011-02-14,103.08,765.0,2484.5,632.616,1117.5266666666666
2011-02-15,101.64,765.0,2482.25,632.328,1116.2966666666666
2011-02-16,103.78,765.0,2476.25,632.756,1115.01
2011-02-17,102.59,765.0,2473.75,632.518,1113.78
2011-02-18,102.52,770.0,2508.5,636.504,1127.0066666666667
2011-02-21,105.74,770.0,2531.5,637.148,1135.7466666666667
2011-02-22,105.78,770.0,2477.0,637.156,1117.5933333333332
2011-02-23,111.25,770.0,2489.25,638.25,1123.5
2011-02-24,111.36,770.0,2490.75,638.272,1124.0366666666666
2011-02-25,112.14,765.0,2529.0,634.428,1135.3799999999999
2011-02-28,111.8,765.0,2531.25,634.36,1136.0166666666667
2011-03-01,94.84,765.0,2471.5,630.968,1110.4466666666667
2011-03-02,101.76,765.0,2515.5,632.352,1127.42
2011-03-03,114.79,765.0,2578.5,634.958,1152.7633333333333
2011-03-08,113.23,735.0,2529.5,610.646,1125.91
2011-03-10,101.71,735.0,2120.0,608.342,985.57
2011-03-11,110.83,685.0,2123.25,570.166,973.0266666666666
2011-03-14,113.67,685.0,2499.5,570.734,1099.39
2011-03-15,108.52,685.0,2473.5,569.704,1089.0066666666667
2011-03-16,110.62,685.0,2467.5,570.124,1087.7066666666667
2011-03-17,114.9,685.0,2475.25,570.98,1091.7166666666667
2011-03-18,113.93,715.0,2507.5,594.7860000000001,1112.1433333333334
2011-03-21,114.96,715.0,2536.25,594.992,1122.07
2011-03-22,115.7,715.0,2548.25,595.14,1126.3166666666666
2011-03-23,115.55,715.0,2600.25,595.11,1143.6000000000001
2011-03-24,115.72,715.0,2595.75,595.144,1142.1566666666668
2011-03-25,115.59,717.5,2608.25,597.118,1147.1133333333335
2011-03-28,114.8,717.5,2584.0,596.96,1138.7666666666667
2011-03-29,115.16,717.5,2591.5,597.032,1141.3866666666665
2011-03-30,115.13,717.5,2595.0,597.026,1142.5433333333333
2011-03-31,117.36,717.5,2599.0,597.472,1144.6200000000001
2011-04-01,93.53,725.0,2471.5,598.706,1096.6766666666665
2011-04-04,121.06,725.0,2610.25,604.212,1152.1033333333332
2011-04-05,121.19,725.0,2753.25,604.238,1199.8133333333333
2011-04-07,111.39,725.0,2460.25,602.278,1098.8799999999999
2011-04-08,107.25,710.0,2472.5,589.45,1096.5833333333333
2011-04-11,111.97,710.0,2130.0,590.394,983.9900000000001
2011-04-13,122.88,710.0,2634.0,592.576,1155.6266666666668
2011-04-14,122.36,710.0,2617.25,592.472,1149.8700000000001
2011-04-15,123.45,715.0,2637.75,596.69,1158.7333333333333
2011-04-18,121.61,715.0,2658.5,596.322,1165.0366666666666
2011-04-19,121.33,715.0,2660.25,596.266,1165.5266666666666
2011-04-20,123.85,715.0,2713.5,596.77,1184.1166666666666
2011-04-21,123.99,720.0,2731.25,600.798,1191.7466666666667
2011-04-25,123.66,720.0,2720.5,600.732,1188.0533333333333
2011-04-26,124.14,720.0,2720.5,600.828,1188.2133333333334
2011-04-27,125.13,720.0,2739.5,601.026,1194.8766666666668
2011-04-28,125.02,692.5,2771.75,579.004,1196.4233333333334
2011-04-29,125.89,692.5,2740.25,579.178,1186.2133333333334
2011-05-04,122.22,692.5,2592.5,578.444,1135.74
2011-05-05,110.8,692.5,2680.5,576.16,1161.2666666666667
2011-05-09,110.08,690.0,2363.25,574.016,1054.4433333333334
2011-05-10,102.73,690.0,2131.75,572.546,974.8266666666667
2011-05-12,109.81,690.0,2105.25,573.962,968.3533333333334
2011-05-13,113.83,695.0,2647.75,578.766,1152.1933333333334
2011-05-16,112.73,695.0,2576.5,578.546,1128.0766666666666
2011-05-17,109.99,695.0,2524.5,577.998,1109.83
2011-05-18,112.3,695.0,2510.5,578.46,1105.9333333333334
2011-05-19,111.42,695.0,2516.0,578.284,1107.4733333333334
2011-05-20,112.39,712.5,2494.75,592.478,1106.5466666666666
2011-05-23,110.1,712.5,2468.25,592.02,1096.95
2011-05-24,112.53,712.5,2499.5,592.506,1108.1766666666665
2011-05-25,114.93,712.5,2539.75,592.986,1122.3933333333334
2011-05-26,115.05,712.5,2539.75,593.01,1122.4333333333334
2011-05-27,115.03,712.5,2597.5,593.006,1141.6766666666665
2011-05-30,114.68,712.5,2648.5,592.936,1158.5600000000002
2011-05-31,116.73,712.5,2648.5,593.346,1159.2433333333333
2011-06-01,94.52,712.5,2469.75,588.904,1092.2566666666667
2011-06-06,114.48,700.0,2626.75,582.896,1147.0766666666666
2011-06-07,113.62,700.0,2516.5,582.724,1110.04
2011-06-09,112.89,700.0,2345.75,582.578,1052.8799999999999
2011-06-10,105.73,700.0,2169.75,581.146,991.8266666666667
2011-06-13,119.1,700.0,2559.75,583.82,1126.2833333333333
2011-06-14,120.16,700.0,2575.25,584.032,1131.8033333333333
2011-06-15,117.1,700.0,2578.25,583.42,1131.7833333333333
2011-06-16,114.02,700.0,2515.25,582.804,1109.7566666666667
2011-06-17,113.21,685.0,2518.5,570.642,1105.57
2011-06-20,111.69,685.0,2490.5,570.338,1095.73
2011-06-21,110.95,685.0,2519.5,570.19,1105.1499999999999
2011-06-22,114.21,685.0,2519.5,570.842,1106.2366666666667
2011-06-23,107.26,685.0,2476.0,569.452,1089.42
2011-06-24,105.12,685.0,2465.25,569.024,1085.1233333333332
2011-06-27,105.99,685.0,2466.25,569.198,1085.7466666666667
2011-06-28,108.78,685.0,2488.75,569.756,1094.1766666666665
2011-06-29,112.4,685.0,2491.25,570.48,1096.2166666666667
2011-06-30,112.48,685.0,2508.5,570.496,1101.9933333333333
2011-07-01,93.33,685.0,2492.0,566.666,1090.11
2011-07-04,122.67,685.0,2659.75,572.534,1155.8066666666666
2011-07-06,116.78,685.0,2664.25,571.356,1155.3433333333332
2011-07-07,118.59,685.0,2528.75,571.718,1110.78
2011-07-11,114.56,685.0,2117.5,570.912,972.3533333333334
2011-07-12,109.53,685.0,2101.75,569.906,965.4266666666666
2011-07-13,118.78,685.0,2450.25,571.756,1084.6766666666665
2011-07-14,118.32,685.0,2476.5,571.664,1093.2733333333333
2011-07-15,117.26,685.0,2449.5,571.452,1083.92
2011-07-18,116.05,685.0,2444.25,571.21,1081.7666666666667
2011-07-19,117.06,685.0,2481.75,571.412,1094.6033333333332
2011-07-20,118.15,685.0,2514.5,571.63,1105.8833333333334
2011-07-21,117.51,685.0,2473.5,571.502,1092.0033333333333
2011-07-22,118.67,692.5,2547.75,577.734,1119.64
2011-07-25,117.94,692.5,2572.5,577.588,1127.6466666666668
2011-07-26,118.28,692.5,2612.5,577.656,1141.0933333333332
2011-07-27,117.43,692.5,2622.25,577.486,1144.0600000000002
2011-07-28,117.36,692.5,2600.5,577.472,1136.7866666666666
2011-07-29,116.74,695.0,2581.0,579.348,1130.9133333333332
2011-08-02,99.92,695.0,2519.5,575.984,1104.8066666666666
2011-08-03,113.06,695.0,2534.75,578.612,1114.27
2011-08-04,126.65,695.0,2659.75,581.33,1160.4666666666667
2011-08-08,103.74,702.5,2404.75,582.748,1070.33
2011-08-09,114.55,702.5,2365.5,584.91,1060.8500000000001
2011-08-11,115.0,702.5,2092.5,585.0,970.0
2011-08-12,108.11,705.0,2059.25,585.622,957.4533333333334
2011-08-15,109.91,705.0,2345.25,585.982,1053.3866666666665
2011-08-16,109.47,705.0,2338.25,585.894,1050.9066666666668
2011-08-17,110.6,705.0,2347.0,586.12,1054.2
2011-08-18,106.99,705.0,2371.0,585.398,1060.9966666666667
2011-08-19,108.62,705.0,2308.5,585.724,1040.7066666666667
2011-08-22,108.36,705.0,2324.75,585.672,1046.0366666666666
2011-08-23,109.31,705.0,2321.75,585.862,1045.3533333333332
2011-08-24,110.15,705.0,2321.75,586.03,1045.6333333333334
2011-08-25,110.62,705.0,2333.5,586.124,1049.7066666666667
2011-08-26,111.36,705.0,2328.75,586.272,1048.3700000000001
2011-08-29,111.88,705.0,2360.5,586.376,1059.1266666666668
2011-08-30,114.02,705.0,2360.5,586.804,1059.84
